Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
----------------------------------------------------
  1 | UP   | 🛡️ TRAIL | $  2.20 | $    2.20
  2 | UP   | 🛡️ TRAIL | $  0.10 | $    2.30
  3 | DOWN | 🛡️ TRAIL | $  0.60 | $    2.90
  4 | DOWN | 🛡️ TRAIL | $  1.00 | $    3.90
  5 | UP   | ❌ LOSS   | $ -1.50 | $    2.40
  6 | DOWN | 🛡️ TRAIL | $  1.10 | $    3.50
  7 | DOWN | 🛡️ TRAIL | $  0.30 | $    3.80
  8 | UP   | 🛡️ TRAIL | $  0.90 | $    4.70
  9 | UP   | 🛡️ TRAIL | $  2.30 | $    7.00
 10 | UP   | 🛡️ TRAIL | $  0.30 | $    7.30
 11 | DOWN | ❌ LOSS   | $ -1.50 | $    5.80
 12 | UP   | 🛡️ B-EVEN | $  0.00 | $    5.80
 13 | UP   | 🛡️ TRAIL | $  0.50 | $    6.30
 14 | UP   | 🛡️ TRAIL | $  0.20 | $    6.50
 15 | UP   | 🛡️ TRAIL | $  0.60 | $    7.10
 16 | UP   | 🛡️ TRAIL | $  0.20 | $    7.30
 17 | UP   | 🛡️ TRAIL | $  0.40 | $    7.70
 18 | UP   | 🛡️ TRAIL | $  0.10 | $    7.80
 19 | UP   | 🛡️ TRAIL | $  2.00 | $    9.80
 20 | UP   | ❌ LOSS   | $ -1.50 | $    8.30
 21 | UP   | ❌ LOSS   | $ -1.50 | $    6.80
 22 | UP   | ❌ LOSS   | $ -1.50 | $    5.30
 23 | DOWN | 🛡️ TRAIL | $  0.30 | $    5.60
 24 | DOWN | ❌ LOSS   | $ -1.50 | $    4.10
 25 | UP   | 🛡️ TRAIL | $  2.40 | $    6.50
 26 | DOWN | 🛡️ TRAIL | $  1.80 | $    8.30
 27 | UP   | 🛡️ TRAIL | $  0.30 | $    8.60
 28 | UP   | 🛡️ TRAIL | $  0.70 | $    9.30
 29 | UP   | 🛡️ TRAIL | $  0.60 | $    9.90
 30 | UP   | 🛡️ TRAIL | $  0.10 | $   10.00
 31 | DOWN | ❌ LOSS   | $ -1.50 | $    8.50
